PN,Date,StockLevel
1103-0001-2000,2021-03-01,6369.0
1103-0001-2200,2021-03-01,20.0
1103-0001-2201,2021-03-01,5339.0
1103-0001-2208,2021-03-01,41258.0
1103-0001-2209,2021-03-01,19517.0
1103-0001-2221,2021-03-01,53337.0
1103-0001-2400,2021-03-01,245.0
1103-0001-2407,2021-03-01,17.0
1103-0001-2408,2021-03-01,4760.0
1103-0001-2700,2021-03-01,6448.0
1103-0001-2701,2021-03-01,6129.0
1103-0001-2702,2021-03-01,4280.0
1103-0001-2708,2021-03-01,8590.0
1103-0001-2709,2021-03-01,17485.0
1103-0001-2719,2021-03-01,4282.0
1103-0001-3000,2021-03-01,6832.0
1103-0001-3300,2021-03-01,6998.0
1103-0001-3301,2021-03-01,4457.0
1103-0001-3302,2021-03-01,4801.0
1103-0001-3303,2021-03-01,24574.0
1103-0001-3304,2021-03-01,4051.0
1103-0001-3307,2021-03-01,1260.0
1103-0001-3309,2021-03-01,10510.0
1103-0001-3900,2021-03-01,20045.0
1103-0001-4700,2021-03-01,17949.0
1103-0001-4701,2021-03-01,55316.0
1103-0001-4703,2021-03-01,13190.0
1103-0001-4704,2021-03-01,3966.0
1103-0001-4707,2021-03-01,8747.0
1103-0001-4709,2021-03-01,87790.0
1103-0001-4751,2021-03-01,2398.0
1103-0001-5100,2021-03-01,2237.0
1103-0001-5108,2021-03-01,4279.0
1103-0001-5601,2021-03-01,18878.0
1103-0001-5607,2021-03-01,16987.0
1103-0001-5609,2021-03-01,22864.0
1103-0001-6800,2021-03-01,9200.0
1103-0001-6809,2021-03-01,30048.0
1103-0001-7150,2021-03-01,5414.0
1103-0001-7502,2021-03-01,13211.0
1103-0001-7509,2021-03-01,2636.0
1103-0001-8203,2021-03-01,2.0
1103-0001-9311,2021-03-01,25387.0
1103-0002-0000,2021-03-01,55526.0
1103-0002-1001,2021-03-01,24449.0
1103-0002-2200,2021-03-01,7779.0
1103-0005-0000,2021-03-01,2623.0
1103-0005-1000,2021-03-01,26540.0
1103-0005-1001,2021-03-01,46802.0
1103-0005-1008,2021-03-01,150.0
1103-0005-1009,2021-03-01,102096.0
1103-0005-1019,2021-03-01,9866.0
1103-0005-1509,2021-03-01,229.0
1103-0005-1811,2021-03-01,83.0
1103-0005-4708,2021-03-01,5415.0
1103-0005-4709,2021-03-01,18402.0
1103-0005-5609,2021-03-01,4682.0
1103-0005-8200,2021-03-01,46.0
1103-0005-8210,2021-03-01,9954.0
1103-0005-8220,2021-03-01,2769.0
1103-0006-4707,2021-03-01,5042.0
1103-0006-4708,2021-03-01,2949.0
1103-0007-1006,2021-03-01,37853.0
1103-0007-2707,2021-03-01,5108.0
1103-0007-3918,2021-03-01,3027.0
1103-0007-5507,2021-03-01,88.0
1103-0007-6006,2021-03-01,18603.0
1103-0008-2213,2021-03-01,3887.0
1103-0008-3304,2021-03-01,100.0
1103-0008-3904,2021-03-01,60.0
1103-0008-6804,2021-03-01,14919.0
1103-0010-3307,2021-03-01,10861.0
1103-0011-1009,2021-03-01,270.0
1103-0013-1501,2021-03-01,120.0
1103-0014-3307,2021-03-01,4285.0
1103-0016-1801,2021-03-01,8925.0
1103-0016-8200,2021-03-01,23825.0
1105-0001-0000,2021-03-01,5146.0
1105-0001-1001,2021-03-01,2045.0
1105-0001-1004,2021-03-01,3123.0
1105-0001-1014,2021-03-01,928.0
1105-0001-3003,2021-03-01,1463.0
1105-0001-3301,2021-03-01,194.0
1105-0001-3602,2021-03-01,160.0
1105-0001-3901,2021-03-01,200.0
1105-0001-4700,2021-03-01,539.0
1105-0001-4708,2021-03-01,899.0
1105-0001-5009,2021-03-01,1183.0
1105-0001-6801,2021-03-01,1900.0
1105-0001-8207,2021-03-01,3640.0
1105-0002-1007,2021-03-01,100.0
1105-0002-2006,2021-03-01,14756.0
1105-0002-2709,2021-03-01,1600.0
1105-0002-4709,2021-03-01,70.0
1105-0003-0000,2021-03-01,157567.0
1105-0003-1000,2021-03-01,38228.0
1105-0003-1001,2021-03-01,53315.0
1105-0003-1002,2021-03-01,341705.0
1105-0003-1003,2021-03-01,8814.0
1105-0003-1009,2021-03-01,8531.0
1105-0003-1152,2021-03-01,134.0
1105-0003-2212,2021-03-01,82.0
1105-0003-2400,2021-03-01,598.0
1105-0003-2672,2021-03-01,812.0
1105-0003-3482,2021-03-01,134.0
1105-0003-4751,2021-03-01,5731.0
1105-0003-4999,2021-03-01,5270.0
1105-0003-5112,2021-03-01,129.0
1107-0002-2001,2021-03-01,118.0
1109-0001-0001,2021-03-01,2349.0
1109-0002-2001,2021-03-01,600.0
1109-0006-1000,2021-03-01,48.0
1109-0006-1809,2021-03-01,536.0
1110-0001-0000,2021-03-01,80798.0
1110-0001-0001,2021-03-01,2520.0
1110-0001-1000,2021-03-01,41070.0
1110-0001-1001,2021-03-01,155762.0
1110-0001-1002,2021-03-01,294531.0
1110-0001-1003,2021-03-01,51622.0
1110-0001-1004,2021-03-01,79286.0
1110-0001-1010,2021-03-01,4055.0
1110-0001-1011,2021-03-01,15494.0
1110-0001-1012,2021-03-01,16564.0
1110-0001-1014,2021-03-01,47872.0
1110-0001-1021,2021-03-01,14068.0
1110-0001-1022,2021-03-01,60239.0
1110-0001-1031,2021-03-01,12666.0
1110-0001-1032,2021-03-01,12903.0
1110-0001-1042,2021-03-01,16798.0
1110-0001-1051,2021-03-01,4200.0
1110-0001-1062,2021-03-01,28650.0
1110-0001-1200,2021-03-01,14420.0
1110-0001-1202,2021-03-01,26367.0
1110-0001-1502,2021-03-01,9443.0
