PN,ProductGroup,WorkCenter,Predecessors,RawMaterial,OperationRoute,OperationRouteID,ProcessingTimes,SetupTimes,BatchInfo,ScrapRate
6022-1700-3403,,PRD,"[['6022-1701-4000', 1.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.667, 3.75, 1.858, 0.6666666666666666]","[10, 166.283, 10, 10, 10]",7-15.0-30.0,0.023809524
6022-1800-4200,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.285, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6022-1800-4300,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 1.884, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6022-1800-4400,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 1.881, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6022-1801-0200,,Phantom,[],-,Phantom,31,[0],0,50-100-200,0.01
6023-1600-0600,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 0.833, 3.75, 0.919, 0.9]","[10, 49.092, 10, 2.231, 10]",535-1071.111111111111-2142.222222222222,0.006924198
6023-1600-0604,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 0.833, 3.75, 0.919, 0.9]","[10, 49.092, 10, 2.231, 10]",535-1071.111111111111-2142.222222222222,0.006924198
6023-1701-0000,,Phantom,"[['6023-1701-0100', 1.0]]",-,Phantom,31,[0],0,325-650.0-1300.0,0
6023-1701-0001,,Phantom,"[['6023-1600-0000', 1.0], ['6023-1701-0301', 1.0]]",-,Phantom,31,[0],0,325-650.0-1300.0,0
6023-1701-0002,,SA,"[['6023-1600-0001', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,325-650.0-1300.0,0
6023-1701-0004,,SA,"[['6023-1600-0003', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,325-650.0-1300.0,0
6023-1701-0005,,SA,"[['6023-1600-0004', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,325-650.0-1300.0,0
6023-1701-0006,,Phantom,"[['6023-1600-0004', 1.0], ['6023-1701-0302', 1.0]]",-,Phantom,31,[0],0,325-650.0-1300.0,0
6023-1701-0007,,SA,"[['6023-1600-0005', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,325-650.0-1300.0,0
6023-1702-0400,,SA,"[['6023-1600-0001', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,242-485.0-970.0,0
6023-1702-0402,,SA,"[['6023-1600-0003', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,242-485.0-970.0,0
6023-1702-0403,,SA,"[['6023-1600-0004', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,242-485.0-970.0,0
6023-1702-0404,,SA,"[['6023-1600-0005', 1.0], ['6023-1701-0302', 1.0]]",-,SA,21,[3.203],0,242-485.0-970.0,0
6023-1702-2900,,SA,"[['6023-1702-2200', 1.0], ['6023-1702-3000', 1.0]]",-,SA,21,[1.276],0,50-100-200,0
6023-1702-2901,,Phantom,"[['6023-1702-2201', 1.0], ['6023-1702-3000', 1.0]]",-,Phantom,31,[0],0,50-100-200,0
6023-1702-2902,,SA,"[['6023-1702-2201', 1.0], ['6023-1702-3001', 1.0]]",-,SA,21,[1.276],0,50-100-200,0
6023-1702-2903,,SA,"[['6023-1702-2202', 1.0], ['6023-1702-3001', 1.0]]",-,SA,21,[1.276],0,50-100-200,0
6023-1702-2904,,SA,"[['6023-1702-2203', 1.0], ['6023-1702-3003', 1.0]]",-,SA,21,[1.276],0,50-100-200,0
6023-1702-3002,,SA,"[['6023-1701-8700', 1.0], ['6023-1702-3300', 1.0]]",-,SA,21,[11.484],0,50-100-200,0
6023-1800-0000,,Phantom,"[['6023-1600-0605', 1.0], ['6023-1800-0800', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.01
6023-1800-0100,,Phantom,"[['6023-1800-0001', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.01
6023-1800-0101,,Phantom,"[['6023-1800-0001', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.01
6023-1800-0102,,SA,"[['6023-1800-0001', 1.0], ['6023-1800-1702', 1.0]]",-,SA,21,[9.96],0,50-100-200,0.02
6023-1800-0103,,SA,"[['6023-1800-0002', 1.0], ['6023-1800-1702', 1.0]]",-,SA,21,[9.96],0,50-100-200,0.02
6023-1800-0104,,Phantom,"[['6023-1800-0003', 1.0], ['6023-1800-1702', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.02
6023-1800-0801,,Phantom,[],-,Phantom,31,[0],0,50-100-200,0.02
6023-1800-0901,,Phantom,"[['6023-1700-0402', 1.0], ['6023-1700-0702', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.02
6023-1800-1701,,Phantom,[],-,Phantom,31,[0],0,50-100-200,0.02
6023-1800-5600,,SA,"[['6023-1800-4000', 1.0], ['6023-1800-5700', 1.0]]",-,SA,21,[9.96],0,58-116.66666666666667-233.33333333333334,0.028571429
6023-1800-5601,,SA,"[['6023-1800-4000', 1.0], ['6023-1800-5700', 1.0]]",-,SA,21,[9.96],0,58-116.66666666666667-233.33333333333334,0.028571429
6023-1800-5602,,SA,"[['6023-1800-4001', 1.0], ['6023-1800-5700', 1.0]]",-,SA,21,[9.96],0,58-116.66666666666667-233.33333333333334,0.028571429
6023-1900-1500,,SA,"[['6023-1900-0100', 1.0], ['6023-1900-2300', 1.0]]",-,SA,21,[16.604],0,68-137.5-275.0,0
6042-1900-0100,,SA,"[['6001-1888-3702', 1.0], ['6001-1888-3801', 1.0], ['6042-1900-2301', 96.0]]",-,SA,21,[9.96],0,50-100-200,0
6042-1900-0200,,SA,"[['6001-1888-3702', 1.0], ['6001-1888-3801', 1.0], ['6042-1900-1300', 1.0], ['6042-1900-2801', 169.0]]",-,SA,21,[9.96],0,50-100-200,0
