JobID,OrderID,OrderDeadline,Selected Machine,WorkCenter,Alternative Machines,StartTime,CompTime,ProcessingTime,LatestStartTime,LatestCompTime,JobDeadline,Tardiness,StartTask,EndTask,StartJob,FinalJob
66,96,5,Selective_2,PRD,Selective_1- Selective_2- Selective_3,3600,4320,120,360.0,10440,6240.0,0,0,0,False,False
65,96,5,Coating_1,PRD,Coating_1,5040,5760,120,480.0,10560,6360.0,0,0,0,False,False
64,96,5,Depanelize_1,PRD,Depanelize_1- Depanelize_2,5760,5880,120,600.0,10680,6480.0,0,0,1,False,False
147,96,5,SA_2,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,5880,6120,240,720.0,10800,6720.0,0,1,1,False,True
175,85,5,Phantom_4,Phantom,Phantom_1- Phantom_2- Phantom_3- Phantom_4- Phantom_5,0,0,0,0.0,10680,6360.0,0,1,1,True,False
148,85,5,SA_24,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,3480,4320,360,0.0,10680,6720.0,0,1,1,False,True
149,66,5,SA_12,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,4920,6000,600,0.0,10440,6720.0,0,1,1,True,True
150,74,5,SA_2,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1560,3480,1440,0.0,9120,6720.0,0,1,1,True,True
153,82,5,SA_16,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,240,240,0.0,10080,6000.0,0,1,1,True,False
151,82,5,SA_16,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,2040,2160,120,840.0,10920,6720.0,0,1,1,False,True
154,82,5,SA_26,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,240,240,0.0,10080,6000.0,0,1,1,True,False
176,82,5,Phantom_5,Phantom,Phantom_1- Phantom_2- Phantom_3- Phantom_4- Phantom_5,0,0,0,0.0,10320,6000.0,0,1,1,True,False
152,82,5,SA_14,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,600,1680,600,240.0,10320,6600.0,0,1,1,False,False
70,62,5,Depanelize_1,PRD,Depanelize_1- Depanelize_2,720,840,120,480.0,10440,6240.0,0,0,1,False,False
71,62,5,Selective_2,PRD,Selective_1- Selective_2- Selective_3,600,720,120,360.0,10320,6120.0,0,0,0,False,False
72,62,5,CA_4,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,480,600,120,240.0,10200,6000.0,0,0,0,False,False
73,62,5,SMD_2,PRD,SMD_1- SMD_2- SMD_3,360,480,120,120.0,10080,5880.0,0,0,0,False,False
74,62,5,LaserMarking_2,PRD,LaserMarking_1- LaserMarking_2,240,360,120,0.0,9384,5760.0,0,1,0,True,False
155,62,5,SA_12,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6240,6720,480,600.0,10560,6720.0,0,1,1,False,True
156,67,5,SA_12,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,4320,4920,600,0.0,10440,6720.0,0,1,1,True,True
